ID,File Name,Command,Link,Alt Text,Created At,Type,Mime Type,Width,Height,Duration,Status,Errors
gid://shopify/GenericFile/28151158079622,BentonModDisp-BoldItalic.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BoldItalic.woff2?v=1751957207,,2025-07-08 16:46:47 +1000,FILE,,,,,Ready,
gid://shopify/GenericFile/28151158472838,BentonModDisp-BlackItalic.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BlackItalic.woff2?v=1751957208,,2025-07-08 16:46:47 +1000,FILE,,,,,Ready,
gid://shopify/GenericFile/28151158145158,BentonModDisp-Bold.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Bold.woff?v=1751957208,,2025-07-08 16:46:47 +1000,FILE,,,,,Ready,
gid://shopify/GenericFile/28151158571142,BentonModDisp-Black.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Black.woff2?v=1751957208,,2025-07-08 16:46:47 +1000,FILE,,,,,Ready,
gid://shopify/GenericFile/28151158538374,BentonModDisp-BlackItalic.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BlackItalic.woff?v=1751957208,,2025-07-08 16:46:47 +1000,FILE,,,,,Ready,
gid://shopify/GenericFile/28151158177926,BentonModDisp-Bold.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Bold.woff2?v=1751957207,,2025-07-08 16:46:47 +1000,FILE,,,,,Ready,
gid://shopify/GenericFile/28151158964358,BentonModDisp-BoldItalic.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BoldItalic.woff?v=1751957208,,2025-07-08 16:46:47 +1000,FILE,,,,,Ready,
gid://shopify/GenericFile/28710716932230,BentonModernD-Light_e4e995da-d3e0-4508-b304-5919de357baa.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Light_e4e995da-d3e0-4508-b304-5919de357baa.woff?v=1763612586,,2025-11-20 15:23:05 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28710716964998,BentonModernD-LightIt_de8469bc-9fab-4b9e-b948-4211858f3c1a.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-LightIt_de8469bc-9fab-4b9e-b948-4211858f3c1a.woff?v=1763612586,,2025-11-20 15:23:05 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28710716997766,BentonModernD-Light_1.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Light_1.woff?v=1763612586,,2025-11-20 15:23:05 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28710725812358,BentonModernD-Regular_33e72c91-202f-459a-8fa2-9793ca705084.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Regular_33e72c91-202f-459a-8fa2-9793ca705084.woff?v=1763612710,,2025-11-20 15:25:10 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811008646,BentonModernD-Ultra.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Ultra.woff2?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811041414,BentonModernD-Ultra.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Ultra.woff?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811074182,BentonModernD-UltraIt.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-UltraIt.woff2?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811106950,BentonModDisp-Bold_35c0cda3-b711-47c7-b4fc-033555607774.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Bold_35c0cda3-b711-47c7-b4fc-033555607774.woff?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811139718,BentonModernD-SemiBold.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-SemiBold.woff?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811172486,BentonModernD-SemiBoldIt.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-SemiBoldIt.woff?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811205254,BentonModernD-LightIt.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-LightIt.woff?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811238022,BentonModernD-LightIt.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-LightIt.woff2?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811270790,BentonModernD-Light.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Light.woff2?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811303558,BentonModernD-SemiBold.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-SemiBold.woff2?v=1764665775,,2025-12-02 19:56:14 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811336326,BentonModDisp-BlackItalic_45d4aef7-edf6-4bd4-966e-a84b54ad0ab9.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BlackItalic_45d4aef7-edf6-4bd4-966e-a84b54ad0ab9.woff?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811369094,BentonModernD-Light.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Light.woff?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811401862,BentonModernD-Regular.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Regular.woff?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811434630,BentonModernD-Regular.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-Regular.woff2?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811467398,BentonModDisp-Black_3865cd7c-5db1-454e-acf0-919ff66c5a23.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Black_3865cd7c-5db1-454e-acf0-919ff66c5a23.woff2?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811500166,BentonModDisp-Black_545c36c0-a56a-4a58-92ab-9611137f65e4.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-Black_545c36c0-a56a-4a58-92ab-9611137f65e4.woff?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811532934,BentonModDisp-BoldItalic_de25f830-b127-404e-9c64-7d541135e67b.woff2,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BoldItalic_de25f830-b127-404e-9c64-7d541135e67b.woff2?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811565702,BentonModDisp-BoldItalic_2fd4ddc6-25ce-4d92-bfea-2631a5ba8d7e.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModDisp-BoldItalic_2fd4ddc6-25ce-4d92-bfea-2631a5ba8d7e.woff?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
gid://shopify/GenericFile/28755811598470,BentonModernD-UltraIt.woff,MERGE,https://cdn.shopify.com/s/files/1/0014/3232/2131/files/BentonModernD-UltraIt.woff?v=1764665775,,2025-12-02 19:56:15 +1100,FILE,,,,,Ready,
